city,state,id
seattle,wa,237385
bellevue,wa,237868
portland,or,186579
vancouver,wa,237278
spokane,wa,237599
eugene,or,186706
los_angeles,ca,207359
anaheim,ca,253985
newport_beach,ca,112956
san_diego,ca,253832
santa_monica,ca,3353288
burbank,ca,3529574
san_francisco,ca,111968
south_san_francisco,ca,2834558
san_mateo,ca,2835017
palo_alto,ca,1544955
mountain_view,ca,1544956
san_jose,ca,112143
fremont,ca,111943
oakland,ca,2833530
berkeley,ca,2833528
richmond,ca,114481
sacramento,ca,6232940
new_york_city,ny,175905
